#Procedure: <spynwave.magnet_calibration.procedure.MagnetCalibrationProcedure>
#Parameters:
#	Folder: C:\\Users\\physfna4\\Desktop
#	Filename base: Magnet_calibration_in_plane
#	Current steps: 0.25 A
#	Dwell time: 2 s
#	Field scaling factor: 1
#	Maximum current: 13 A
#	Minimum current: -13 A
#	Number of sweeps: 2
#	Use symmetric currents: True
#Metadata:
#	Magnet calibrated for: in-plane magnet
#	Measurement date: 2022-11-24 12:50:24.350355
#	Measurement timestamp: 1669290624.3503551
#Data:
Timestamp (s),Current (A),Field (T)
1669291331.7332804,5.25,0.426
1669291338.623952,5.5,0.45899999999999996
1669291344.5346708,5.75,0.45899999999999996
1669291351.9523175,6.0,0.4879999999999999
1669291357.868036,6.25,0.4879999999999999
1669291478.1663127,6.5,
1669291578.5426202,6.75,0.5120000000000001
1669291585.3823032,7.0,0.535
1669291591.2170365,7.25,0.535
1669291597.7717326,7.5,0.5549999999999999
1669291603.6154635,7.75,0.5549999999999999
1669291609.8711731,8.0,0.5730000000000001
1669291615.7349029,8.25,0.5730000000000001
1669291692.1173751,8.5,0.5890000000000001
1669291732.031535,8.75,0.5890000000000001
1669291738.2782445,9.0,0.6039999999999999
1669291744.1269746,9.25,0.6039999999999999
1669291750.3686883,9.5,0.6180000000000001
1669291756.2864146,9.75,0.6180000000000001
1669291762.533126,10.0,0.6300000000000001
1669291768.4018538,10.25,0.6300000000000001
1669291806.5690928,10.5,0.6400000000000001
1669291823.3793266,10.75,0.6400000000000001
1669291928.7306254,11.0,0.6500000000000001
1669291969.4138072,11.25,0.6500000000000001
1669291975.6515248,11.5,0.66
1669291981.512263,11.75,0.66
1669291987.7909813,12.0,0.6690000000000002
1669291993.65872,12.25,0.6690000000000002
1669291999.92544,12.5,0.6769999999999999
1669292005.8001764,12.75,0.6769999999999999
1669292015.8047297,13.0,0.686
1669292021.645469,13.0,0.686
1669292031.2710383,12.75,0.686
1669292041.9225616,12.5,0.6780000000000002
1669292047.7803001,12.25,0.6780000000000002
1669292054.0290215,12.0,0.6690000000000002
1669292059.85876,11.75,0.6690000000000002
1669292066.1294823,11.5,0.6609999999999999
1669292072.0092173,11.25,0.6609999999999999
1669292078.2989366,11.0,0.651
1669292088.8524647,10.75,0.651
1669292095.1071842,10.5,0.6419999999999999
1669292100.9169312,10.25,0.6419999999999999
1669292107.1336474,10.0,0.631
1669292112.974387,9.75,0.631
1669292119.176117,9.5,0.6199999999999999
1669292125.0328627,9.25,0.6199999999999999
1669292131.3005905,9.0,0.6069999999999999
1669292137.1503367,8.75,0.6069999999999999
1669292143.4340658,8.5,0.593
1669292149.276817,8.25,0.593
1669292269.6385975,8.0,
1669292299.0363216,7.75,0.577
1669292305.5930362,7.5,0.5600000000000002
1669292311.4387786,7.25,0.5600000000000002
1669292317.7805026,7.0,0.542
1669292323.626249,6.75,0.542
1669292330.1439672,6.5,0.5210000000000001
1669292336.0027192,6.25,0.5210000000000001
1669292342.5254288,6.0,0.4979999999999999
1669292348.339177,5.75,0.4979999999999999
1669292355.1458802,5.5,0.47199999999999986
1669292361.0166276,5.25,0.47199999999999986
1669292368.1663172,5.0,0.442
1669292374.0300622,4.75,0.442
1669292380.8707662,4.5,0.4069999999999999
1669292386.7805092,4.25,0.4069999999999999
1669292393.6452127,4.0,0.36800000000000005
1669292399.476959,3.75,0.36800000000000005
1669292407.188624,3.5,0.32599999999999996
1669292413.0253727,3.25,0.32599999999999996
1669292420.7080476,3.0,0.28300000000000003
1669292426.590801,2.75,0.28300000000000003
1669292434.1134937,2.5,0.2387
1669292439.9632392,2.25,0.2386
1669292447.3769293,2.0,0.19358500000000003
1669292453.2466826,1.75,0.19349500000000006
1669292460.9463587,1.5,0.14792000000000005
1669292466.755116,1.25,0.14780300000000005
1669292474.4457943,1.0,0.10209500000000002
1669292480.3265445,0.75,0.10194500000000002
1669292488.328208,0.5,0.05613500000000001
1669292494.1969628,0.25,0.05600000000000001
1669292502.5656111,0.0,0.010499
1669292508.7643528,-0.25,0.010224500000000001
1669292516.600022,-0.5,-0.035765000000000005
1669292522.4067793,-0.75,-0.03595500000000001
1669292530.3884437,-1.0,-0.08181500000000001
1669292536.2551982,-1.25,-0.08200000000000002
1669292544.2268634,-1.5,-0.12749499999999997
1669292550.1056163,-1.75,-0.12769999999999998
1669292558.1202807,-2.0,-0.17279000000000003
1669292563.9580362,-2.25,-0.17300000000000001
1669292571.928707,-2.5,-0.21756999999999996
1669292577.8084536,-2.75,-0.21779500000000004
1669292585.787115,-3.0,-0.261665
1669292591.6618743,-3.25,-0.26180000000000003
1669292600.04852,-3.5,-0.30499999999999994
1669292605.9262748,-3.75,-0.30500999999999995
1669292613.9539363,-4.0,-0.34699999999999986
1669292619.8206913,-4.25,-0.34699999999999986
1669292626.9313915,-4.5,-0.3870000000000001
1669292632.779146,-4.75,-0.3870000000000001
1669292639.9768445,-5.0,-0.425
1669292645.8765972,-5.25,-0.425
1669292652.4053283,-5.5,-0.458
1669292658.2460778,-5.75,-0.458
1669292665.0477922,-6.0,-0.487
1669292670.9265442,-6.25,-0.487
1669292677.4422715,-6.5,-0.5120000000000001
1669292683.3060246,-6.75,-0.5120000000000001
1669292689.8407514,-7.0,-0.5340000000000001
1669292695.6905124,-7.25,-0.5340000000000001
1669292702.194239,-7.5,-0.5540200000000001
1669292708.079986,-7.75,-0.554
1669292714.2957249,-8.0,-0.5719999999999998
1669292720.147487,-8.25,-0.5719999999999998
1669292726.6902204,-8.5,-0.5890000000000001
1669292732.5559814,-8.75,-0.5890000000000001
1669292739.3587093,-9.0,-0.6039999999999999
1669292745.1984642,-9.25,-0.6039999999999999
1669292751.4502103,-9.5,-0.6170000000000002
1669292757.2989712,-9.75,-0.6170000000000002
1669292763.5907156,-10.0,-0.6289999999999999
1669292769.4614756,-10.25,-0.6289999999999999
1669292775.9892132,-10.5,-0.6400000000000001
1669292781.8179715,-10.75,-0.6400000000000001
1669292788.0177274,-11.0,-0.6500000000000001
1669292793.8344815,-11.25,-0.6500000000000001
1669292800.0932252,-11.5,-0.6590000000000001
1669292805.9549837,-11.75,-0.6590000000000001
1669292812.2007308,-12.0,-0.6679999999999999
1669292818.066493,-12.25,-0.6679999999999999
1669292910.100738,-12.5,-0.676
1669292915.9724991,-12.75,-0.676
1669292922.5072334,-13.0,-0.6850000000000002
1669292928.320004,-13.0,-0.6850000000000002
1669292934.1197622,-12.75,-0.6850000000000002
1669292940.3075063,-12.5,-0.6769999999999999
1669292946.1082706,-12.25,-0.6769999999999999
1669292952.3240166,-12.0,-0.6679999999999999
1669292958.1227794,-11.75,-0.6679999999999999
1669292964.3495271,-11.5,-0.66
1669292970.2242858,-11.25,-0.66
1669293090.5204847,-11.0,
1669293112.5646005,-10.75,-0.6500000000000001
1669293118.796359,-10.5,-0.641
1669293124.635134,-10.25,-0.641
1669293130.8768814,-10.0,-0.6300000000000001
1669293136.7306485,-9.75,-0.6300000000000001
1669293142.9944031,-9.5,-0.619
1669293148.8711703,-9.25,-0.619
1669293155.1159284,-9.0,-0.606
1669293160.9436927,-8.75,-0.606
1669293167.1724467,-8.5,-0.5920000000000001
1669293173.006216,-8.25,-0.5920000000000001
1669293262.7296693,-8.0,-0.577
1669293296.192345,-7.75,-0.577
1669293303.0530746,-7.5,-0.5589999999999999
1669293308.897844,-7.25,-0.5589999999999999
1669293315.1615982,-7.0,-0.5410000000000001
1669293320.9923737,-6.75,-0.5410000000000001
1669293327.5331223,-6.5,-0.5199999999999999
1669293333.421905,-6.25,-0.5199999999999999
1669293339.9566455,-6.0,-0.497
1669293345.792422,-5.75,-0.497
1669293352.8991482,-5.5,-0.471
1669293358.7289248,-5.25,-0.471
1669293365.577661,-5.0,-0.441
1669293371.4354367,-4.75,-0.441
1669293378.3101716,-4.5,-0.40599999999999997
1669293384.1519482,-4.25,-0.40599999999999997
1669293390.930687,-4.0,-0.367
1669293396.829461,-3.75,-0.367
1669293404.4891667,-3.5,-0.32500000000000007
1669293410.3419425,-3.25,-0.32500000000000007
1669293418.6376235,-3.0,-0.282
1669293424.4543996,-2.75,-0.282
1669293431.6581233,-2.5,-0.23841499999999996
1669293437.5278976,-2.25,-0.23829999999999996
1669293444.906614,-2.0,-0.19331
1669293450.788386,-1.75,-0.19319999999999998
1669293458.4670937,-1.5,-0.14771500000000004
1669293464.2988696,-1.25,-0.14760000000000004
1669293472.0185726,-1.0,-0.10190499999999998
1669293477.8693473,-0.75,-0.10179999999999997
1669293485.8580413,-0.5,-0.05600000000000001
1669293491.7258155,-0.25,-0.055900000000000005
1669293500.22249,0.0,-0.010319000000000002
