#Procedure: <spynwave.magnet_calibration.procedure.MagnetCalibrationProcedure>
#Parameters:
#	Folder: C:\\Users\\physfna4\\Desktop
#	Filename base: Magnet_calibration_out_of_plane
#	Current steps: 1 A
#	Dwell time: 2 s
#	Field scaling factor: 1
#	Maximum current: 60 A
#	Minimum current: -60 A
#	Number of sweeps: 2
#	Use symmetric currents: True
#Metadata:
#	Magnet calibrated for: out-of-plane magnet
#	Measurement date: 2022-11-24 12:52:03.811487
#	Measurement timestamp: 1669290723.8114877
#Data:
Timestamp (s),Current (A),Field (T)
1669291060.6457396,-26.0,-0.9766350000000001
1669291070.944107,-25.0,-0.9400299999999998
1669291081.2300706,-24.0,-0.9032399999999999
1669291091.5095534,-23.0,-0.86632
1669291101.7919953,-22.0,-0.8294349999999999
1669291112.3464546,-21.0,-0.792135
1669291122.5970533,-20.0,-0.7549499999999999
1669291133.1669793,-19.0,-0.717545
1669291143.1459424,-18.0,-0.6803149999999999
1669291153.109117,-17.0,-0.6430049999999999
1669291163.1202016,-16.0,-0.60566
1669291173.099171,-15.0,-0.5683349999999999
1669291183.3657076,-14.0,-0.53074
1669291193.0885708,-13.0,-0.49330000000000007
1669291202.779663,-12.0,-0.45560999999999996
1669291212.7904115,-11.0,-0.41793500000000006
1669291222.7690496,-10.0,-0.3804550000000001
1669291233.035857,-9.0,-0.34326
1669291243.3188405,-8.0,-0.30583
1669291253.6016064,-7.0,-0.26832500000000004
1669291263.9640064,-6.0,-0.230485
1669291274.5186932,-5.0,-0.19289
1669291285.0890956,-4.0,-0.155303
1669291295.6596596,-3.0,-0.11782649999999999
1669291306.5185413,-2.0,-0.08023549999999999
1669291317.3609154,-1.0,-0.042790999999999996
1669291328.587065,0.0,-0.00523555
1669291339.8292937,1.0,0.03230999999999999
1669291351.2633364,2.0,0.0698085
1669291362.6975007,3.0,0.10729949999999999
1669291374.1318805,4.0,0.14473999999999998
1669291385.8701882,5.0,0.18239550000000002
1669291397.591601,6.0,0.21981199999999998
1669291409.6339912,7.0,0.2572844999999999
1669291421.7720644,8.0,0.29507
1669291433.7817574,9.0,0.33268000000000003
1669291445.7753234,10.0,0.37008
1669291458.0890107,11.0,0.40756999999999993
1669291470.3712668,12.0,0.44495499999999993
1669291482.6677287,13.0,0.4824099999999999
1669291494.677514,14.0,0.519595
1669291506.6874642,15.0,0.556675
1669291518.9697702,16.0,0.5938700000000001
1669291531.2513618,17.0,0.6313950000000002
1669291543.5490522,18.0,0.6689999999999999
1669291555.2231615,19.0,0.7062999999999999
1669291567.4886353,20.0,0.743585
1669291579.7862499,21.0,0.7805850000000001
1669291591.7968025,22.0,0.817385
1669291603.5022807,23.0,0.8535999999999999
1669291615.2084398,24.0,0.88989
1669291626.930584,25.0,0.92659
1669291638.3486013,26.0,0.9632949999999999
1669291649.7985313,27.0,0.99969
1669291660.961768,28.0,1.0355900000000005
1669291672.1240644,29.0,1.0711650000000001
1669291683.5580566,30.0,1.10656
1669291694.7061896,31.0,1.14148
1669291705.8668365,32.0,1.17626
1669291716.997695,33.0,1.2108750000000004
1669291728.127643,34.0,1.24516
1669291739.274603,35.0,1.2792799999999998
1669291750.4364905,36.0,1.3130899999999996
1669291761.2949295,37.0,1.3466250000000002
1669291772.1694236,38.0,1.3798299999999997
1669291783.0120726,39.0,1.412885
1669291793.5829122,40.0,1.4454999999999996
1669291804.4255908,41.0,1.477745
1669291814.9963105,42.0,1.50924
1669291825.5667472,43.0,1.5400899999999997
1669291835.8651128,44.0,1.56999
1669291845.8608963,45.0,1.5989499999999999
1669291855.5998056,46.0,1.62675
1669291864.7305267,47.0,1.65314
1669291873.2869651,48.0,1.6781499999999998
1669291881.5387478,49.0,1.7016499999999997
1669291889.518638,50.0,1.7239049999999996
1669291897.2103949,51.0,1.7450050000000001
1669291904.6311765,52.0,1.7651550000000005
1669291912.0357614,53.0,1.7844550000000001
1669291919.439903,54.0,1.8031499999999998
1669291926.5721629,55.0,1.821145
1669291933.6885886,56.0,1.8386600000000002
1669291940.8045654,57.0,1.8555700000000002
1669291947.921468,58.0,1.8720200000000005
1669291955.037867,59.0,1.887965
1669291962.1537778,60.0,1.9034750000000003
1669291967.8473542,60.0,1.9035
1669291974.659843,59.0,1.8891199999999997
1669291981.5203927,58.0,1.8740999999999999
1669291988.3493245,57.0,1.85854
1669291995.4493728,56.0,1.842445
1669292002.582183,55.0,1.8258350000000003
1669292009.7142787,54.0,1.8087250000000001
1669292016.830855,53.0,1.79099
1669292023.9631019,52.0,1.7727349999999997
1669292031.36743,51.0,1.753645
1669292038.7718322,50.0,1.7337799999999999
1669292046.4638612,49.0,1.7128650000000003
1669292054.1557324,48.0,1.6907200000000002
1669292062.7277694,47.0,1.666745
1669292071.8432384,46.0,1.6409599999999998
1669292081.5496454,45.0,1.6133499999999998
1669292091.5449333,44.0,1.58436
1669292101.8438964,43.0,1.5543149999999997
1669292112.4305623,42.0,1.523315
1669292123.0011537,41.0,1.4916399999999999
1669292133.5882215,40.0,1.459235
1669292144.1908638,39.0,1.4263349999999995
1669292155.081018,38.0,1.3928500000000006
1669292165.6681097,37.0,1.3594450000000002
1669292176.2386076,36.0,1.3256349999999997
1669292187.1128657,35.0,1.2916149999999997
1669292197.987558,34.0,1.2573550000000004
1669292208.846023,33.0,1.22294
1669292219.4325917,32.0,1.1882799999999998
1669292230.0191216,31.0,1.1534099999999998
1669292240.5752685,30.0,1.1184
1669292251.144622,29.0,1.0830149999999998
1669292261.714551,28.0,1.047415
1669292272.31804,27.0,1.0114349999999999
1669292282.8724656,26.0,0.9750599999999997
1669292293.15563,25.0,0.9382349999999999
1669292303.7264967,24.0,0.9011100000000001
1669292314.0414214,23.0,0.8647449999999999
1669292324.292663,22.0,0.8284050000000001
1669292334.878751,21.0,0.7915449999999999
1669292345.1452703,20.0,0.7545150000000002
1669292355.1408124,19.0,0.7173200000000002
1669292365.1356528,18.0,0.6799200000000001
1669292375.4030957,17.0,0.6422249999999999
1669292385.6858659,16.0,0.6045550000000001
1669292395.6651056,15.0,0.5673250000000001
1669292405.9480174,14.0,0.5301549999999999
1669292415.9424458,13.0,0.4929599999999999
1669292425.9378731,12.0,0.4554499999999999
1669292435.949074,11.0,0.418015
1669292445.9438162,10.0,0.38053000000000003
1669292456.2434425,9.0,0.3430350000000001
1669292466.5259392,8.0,0.305395
1669292476.8283243,7.0,0.26785499999999995
1669292487.2197423,6.0,0.23007049999999998
1669292497.5186393,5.0,0.19266149999999999
1669292508.0892649,4.0,0.15498800000000001
1669292518.6796343,3.0,0.11752149999999999
1669292529.550721,2.0,0.079971
1669292540.3934016,1.0,0.042492
1669292551.3802025,0.0,0.004939799999999999
1669292562.6385608,-1.0,-0.032591
